date,cases,deaths
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,2,0
2020-03-09,2,0
2020-03-10,2,0
2020-03-11,2,0
2020-03-12,2,0
2020-03-13,2,0
2020-03-14,4,0
2020-03-15,7,0
2020-03-16,10,0
2020-03-17,14,0
2020-03-18,16,0
2020-03-19,26,0
2020-03-20,37,0
2020-03-21,48,0
2020-03-22,56,0
2020-03-23,77,0
2020-03-24,90,0
2020-03-25,95,0
2020-03-26,106,0
2020-03-27,120,0
2020-03-28,151,0
2020-03-29,175,0
2020-03-30,204,0
2020-03-31,224,1
2020-04-01,258,1
2020-04-02,283,2
2020-04-03,317,3
2020-04-04,349,3
2020-04-05,369,4
2020-04-06,385,5
2020-04-07,408,5
2020-04-08,433,5
2020-04-09,440,6
2020-04-10,463,8
2020-04-11,484,8
2020-04-12,497,9
2020-04-13,502,9
2020-04-14,511,9
2020-04-15,524,9
2020-04-16,535,9
2020-04-17,547,9
2020-04-18,568,9
2020-04-19,574,10
2020-04-20,578,10
2020-04-21,580,12
2020-04-22,586,12
2020-04-23,590,12
2020-04-24,595,13
2020-04-25,597,14
2020-04-26,599,14
2020-04-27,600,16
2020-04-28,602,16
2020-04-29,605,16
2020-04-30,609,16
2020-05-01,610,16
2020-05-02,611,16
2020-05-03,611,17
2020-05-04,612,17
2020-05-05,615,17
2020-05-06,616,17
2020-05-07,619,17
2020-05-08,619,17
2020-05-09,620,17
2020-05-10,621,17
2020-05-11,623,17
2020-05-12,624,17
2020-05-13,627,17
2020-05-14,627,17
2020-05-15,628,17
2020-05-16,629,17
2020-05-17,630,17
2020-05-18,630,17
2020-05-19,631,17
2020-05-20,633,17
2020-05-21,637,17
2020-05-22,632,17
