date,cases,deaths
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,2,0
2020-03-20,2,0
2020-03-21,3,0
2020-03-22,3,0
2020-03-23,3,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,5,0
2020-03-27,5,0
2020-03-28,5,0
2020-03-29,6,0
2020-03-30,6,0
2020-03-31,6,0
2020-04-01,6,0
2020-04-02,7,0
2020-04-03,7,0
2020-04-04,8,0
2020-04-05,9,0
2020-04-06,9,0
2020-04-07,12,0
2020-04-08,12,0
2020-04-09,12,0
2020-04-10,14,0
2020-04-11,16,1
2020-04-12,17,1
2020-04-13,17,1
2020-04-14,19,1
2020-04-15,21,1
2020-04-16,21,1
2020-04-17,23,1
2020-04-18,23,1
2020-04-19,25,1
2020-04-20,25,1
2020-04-21,27,1
2020-04-22,30,1
2020-04-23,32,1
2020-04-24,32,1
2020-04-25,33,1
2020-04-26,33,1
2020-04-27,34,1
2020-04-28,35,1
2020-04-29,40,1
2020-04-30,42,1
2020-05-01,43,1
2020-05-02,48,1
2020-05-03,50,1
2020-05-04,54,1
2020-05-05,60,1
2020-05-06,69,1
2020-05-07,73,1
2020-05-08,83,1
2020-05-09,92,1
2020-05-10,102,1
2020-05-11,110,1
2020-05-12,119,1
2020-05-13,119,1
2020-05-14,130,1
2020-05-15,140,1
2020-05-16,152,1
2020-05-17,162,1
2020-05-18,172,1
2020-05-19,182,1
2020-05-20,198,1
2020-05-21,200,1
2020-05-22,213,2
2020-05-23,231,1
2020-05-24,240,1
2020-05-25,253,1
2020-05-26,263,1
2020-05-27,269,1
2020-05-28,280,1
2020-05-29,287,1
2020-05-30,305,1
2020-05-31,313,1
2020-06-01,320,2
2020-06-02,327,2
2020-06-03,332,2
2020-06-04,339,2
2020-06-05,349,2
2020-06-06,351,2
2020-06-07,358,2
2020-06-08,361,2
2020-06-09,361,2
2020-06-10,362,2
2020-06-11,367,2
