date,cases,deaths
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,5,0
2020-04-04,5,0
2020-04-05,5,0
2020-04-06,7,0
2020-04-07,7,0
2020-04-08,7,0
2020-04-09,7,1
2020-04-10,7,1
2020-04-11,7,1
2020-04-12,7,1
2020-04-13,8,1
2020-04-14,7,1
2020-04-15,8,1
2020-04-16,8,1
2020-04-17,8,1
2020-04-18,9,1
2020-04-19,9,1
2020-04-20,9,1
2020-04-21,9,1
2020-04-22,9,1
2020-04-23,10,1
2020-04-24,10,1
2020-04-25,10,1
2020-04-26,10,1
2020-04-27,10,1
2020-04-28,11,1
2020-04-29,11,1
2020-04-30,11,1
2020-05-01,11,2
2020-05-02,12,2
2020-05-03,12,2
2020-05-04,12,2
2020-05-05,12,2
2020-05-06,12,2
2020-05-07,12,2
2020-05-08,12,2
2020-05-09,12,2
2020-05-10,12,2
2020-05-11,12,2
2020-05-12,12,2
2020-05-13,12,2
2020-05-14,12,2
2020-05-15,12,2
2020-05-16,12,2
2020-05-17,12,2
2020-05-18,12,2
2020-05-19,12,2
2020-05-20,12,2
2020-05-21,12,2
2020-05-22,12,2
2020-05-23,12,2
2020-05-24,13,2
2020-05-25,13,2
2020-05-26,13,2
2020-05-27,13,2
2020-05-28,13,2
2020-05-29,13,2
2020-05-30,13,2
2020-05-31,13,2
2020-06-01,13,2
2020-06-02,13,2
2020-06-03,13,2
2020-06-04,13,2
2020-06-05,13,2
2020-06-06,13,2
2020-06-07,13,2
2020-06-08,13,2
2020-06-09,13,2
2020-06-10,13,2
2020-06-11,15,2
2020-06-12,15,2
2020-06-13,15,2
2020-06-14,15,2
2020-06-15,24,2
2020-06-16,26,2
2020-06-17,27,2
2020-06-18,29,2
2020-06-19,30,2
2020-06-20,30,2
2020-06-21,30,2
2020-06-22,32,2
2020-06-23,34,2
2020-06-24,35,2
2020-06-25,39,2
2020-06-26,40,2
2020-06-27,48,2
2020-06-28,56,2
2020-06-29,60,2
2020-06-30,60,2
2020-07-01,63,2
2020-07-02,67,2
2020-07-03,74,2
2020-07-04,83,2
2020-07-05,84,2
2020-07-06,96,2
2020-07-07,105,2
2020-07-08,112,2
2020-07-09,119,2
2020-07-10,122,2
2020-07-11,123,3
2020-07-12,123,3
2020-07-13,126,3
2020-07-14,135,3
2020-07-15,142,3
2020-07-16,147,3
2020-07-17,155,3
2020-07-18,166,3
2020-07-19,174,3
2020-07-20,178,3
2020-07-21,184,3
2020-07-22,205,3
2020-07-23,212,3
2020-07-24,226,3
2020-07-25,237,3
2020-07-26,249,3
2020-07-27,267,3
2020-07-28,284,3
2020-07-29,304,3
2020-07-30,374,3
2020-07-31,391,3
2020-08-01,403,3
2020-08-02,428,3
2020-08-03,456,3
2020-08-04,480,3
2020-08-05,507,3
2020-08-06,521,3
2020-08-07,548,3
2020-08-08,548,3
2020-08-09,589,3
2020-08-10,616,3
2020-08-11,632,3
