date,cases,deaths
2020-03-15,1,0
2020-03-16,2,0
2020-03-17,3,0
2020-03-18,4,0
2020-03-19,5,0
2020-03-20,5,0
2020-03-21,9,0
2020-03-22,10,0
2020-03-23,15,0
2020-03-24,15,0
2020-03-25,22,0
2020-03-26,24,0
2020-03-27,32,0
2020-03-28,37,0
2020-03-29,45,1
2020-03-30,48,1
2020-03-31,55,1
2020-04-01,59,1
2020-04-02,68,1
2020-04-03,72,1
2020-04-04,74,2
2020-04-05,78,2
2020-04-06,83,3
2020-04-07,88,3
2020-04-08,94,4
2020-04-09,98,5
2020-04-10,103,5
2020-04-11,107,7
2020-04-12,110,7
2020-04-13,112,8
2020-04-14,116,9
2020-04-15,122,10
2020-04-16,126,10
2020-04-17,130,10
2020-04-18,132,10
2020-04-19,135,10
2020-04-20,139,11
2020-04-21,142,11
2020-04-22,143,12
2020-04-23,148,13
2020-04-24,149,13
2020-04-25,153,13
2020-04-26,160,13
2020-04-27,159,13
2020-04-28,162,14
2020-04-29,165,15
2020-04-30,167,15
2020-05-01,171,15
2020-05-02,172,15
2020-05-03,172,16
2020-05-04,175,16
2020-05-05,177,16
2020-05-06,184,16
2020-05-07,185,17
2020-05-08,190,17
2020-05-09,193,17
2020-05-10,194,17
2020-05-11,195,17
2020-05-12,203,17
2020-05-13,205,17
2020-05-14,207,18
2020-05-15,210,18
2020-05-16,212,18
2020-05-17,216,18
2020-05-18,224,18
2020-05-19,229,18
2020-05-20,237,18
2020-05-21,245,18
2020-05-22,258,18
2020-05-23,274,19
2020-05-24,288,19
2020-05-25,302,19
2020-05-26,307,19
2020-05-27,310,20
2020-05-28,313,22
2020-05-29,328,23
2020-05-30,337,23
2020-05-31,337,22
2020-06-01,346,24
2020-06-02,356,23
2020-06-03,366,23
2020-06-04,376,25
2020-06-05,376,24
2020-06-06,382,25
2020-06-07,387,25
2020-06-08,388,25
2020-06-09,390,25
2020-06-10,394,26
2020-06-11,394,26
2020-06-12,397,26
2020-06-13,396,30
2020-06-14,397,30
2020-06-15,398,30
2020-06-16,400,30
2020-06-17,402,31
2020-06-18,404,31
2020-06-19,406,31
2020-06-20,407,31
2020-06-21,413,31
2020-06-22,416,31
2020-06-23,426,31
2020-06-24,434,31
2020-06-25,441,31
2020-06-26,451,31
2020-06-27,460,31
2020-06-28,464,31
2020-06-29,469,31
2020-06-30,480,32
2020-07-01,491,32
2020-07-02,491,32
2020-07-03,506,32
2020-07-04,508,32
2020-07-05,516,32
2020-07-06,523,32
2020-07-07,536,32
2020-07-08,543,32
2020-07-09,548,32
2020-07-10,566,32
2020-07-11,582,32
2020-07-12,589,32
2020-07-13,599,32
2020-07-14,614,32
2020-07-15,633,32
2020-07-16,646,32
2020-07-17,658,32
2020-07-18,670,32
2020-07-19,681,32
2020-07-20,691,32
2020-07-21,698,32
2020-07-22,709,32
2020-07-23,719,32
2020-07-24,733,32
2020-07-25,746,32
2020-07-26,757,32
2020-07-27,765,32
2020-07-28,775,32
2020-07-29,786,33
2020-07-30,795,33
2020-07-31,812,33
2020-08-01,821,33
2020-08-02,831,33
2020-08-03,835,33
2020-08-04,848,33
2020-08-05,869,35
2020-08-06,887,35
2020-08-07,896,35
2020-08-08,914,35
2020-08-09,923,35
2020-08-10,930,35
2020-08-11,945,35
2020-08-12,959,36
2020-08-13,977,36
2020-08-14,988,36
2020-08-15,993,36
2020-08-16,996,36
2020-08-17,1002,36
2020-08-18,1015,36
2020-08-19,1027,36
2020-08-20,1038,36
2020-08-21,1052,36
2020-08-22,1074,36
2020-08-23,1086,36
2020-08-24,1098,36
2020-08-25,1110,36
2020-08-26,1119,36
2020-08-27,1139,37
2020-08-28,1155,37
2020-08-29,1172,37
2020-08-30,1190,37
2020-08-31,1199,37
2020-09-01,1219,38
2020-09-02,1239,38
2020-09-03,1252,38
2020-09-04,1266,38
2020-09-05,1281,38
2020-09-06,1292,38
2020-09-07,1304,38
2020-09-08,1308,38
2020-09-09,1313,38
2020-09-10,1330,38
2020-09-11,1342,38
2020-09-12,1351,38
2020-09-13,1359,38
2020-09-14,1373,38
2020-09-15,1383,38
2020-09-16,1389,38
2020-09-17,1405,38
2020-09-18,1412,38
2020-09-19,1420,38
2020-09-20,1430,38
2020-09-21,1432,39
2020-09-22,1439,39
2020-09-23,1442,39
2020-09-24,1451,39
2020-09-25,1460,39
2020-09-26,1467,39
2020-09-27,1475,39
2020-09-28,1475,39
2020-09-29,1493,39
2020-09-30,1503,39
2020-10-01,1514,39
2020-10-02,1536,41
2020-10-03,1542,41
2020-10-04,1551,41
2020-10-05,1560,41
2020-10-06,1570,41
2020-10-07,1575,41
2020-10-08,1584,41
2020-10-09,1600,42
2020-10-10,1616,42
2020-10-11,1622,42
2020-10-12,1629,42
2020-10-13,1647,42
2020-10-14,1676,42
2020-10-15,1693,42
2020-10-16,1714,42
2020-10-17,1737,42
2020-10-18,1755,42
2020-10-19,1777,42
2020-10-20,1802,42
2020-10-21,1820,42
2020-10-22,1856,42
2020-10-23,1889,42
2020-10-24,1924,42
2020-10-25,1947,42
2020-10-26,1972,42
2020-10-27,2006,43
2020-10-28,2036,43
2020-10-29,2086,43
2020-10-30,2126,43
2020-10-31,2158,43
2020-11-01,2197,44
2020-11-02,2253,44
2020-11-03,2318,44
2020-11-04,2368,44
2020-11-05,2449,46
2020-11-06,2545,46
2020-11-07,2618,46
2020-11-08,2709,46
2020-11-09,2762,46
2020-11-10,2859,46
2020-11-11,2956,46
2020-11-12,3093,49
2020-11-13,3201,49
2020-11-14,3295,51
2020-11-15,3395,51
2020-11-16,3505,51
2020-11-17,3594,51
2020-11-18,3680,52
2020-11-19,3786,53
2020-11-20,3875,54
2020-11-21,3941,54
2020-11-22,4133,54
2020-11-23,4286,54
2020-11-24,4477,56
2020-11-25,4716,57
2020-11-26,4716,57
2020-11-27,4965,57
