date,cases,deaths
2020-03-12,5,0
2020-03-13,6,0
2020-03-14,7,0
2020-03-15,8,0
2020-03-16,10,0
2020-03-17,10,0
2020-03-18,13,0
2020-03-19,18,0
2020-03-20,23,0
2020-03-21,28,0
2020-03-22,52,0
2020-03-23,54,0
2020-03-24,64,1
2020-03-25,79,1
2020-03-26,83,1
2020-03-27,89,1
2020-03-28,92,2
2020-03-29,94,2
2020-03-30,99,3
2020-03-31,103,3
2020-04-01,113,4
2020-04-02,126,5
2020-04-03,137,5
2020-04-04,139,6
2020-04-05,161,6
2020-04-06,171,5
2020-04-07,179,7
2020-04-08,201,7
2020-04-09,221,8
2020-04-10,236,8
2020-04-11,249,9
2020-04-12,256,9
2020-04-13,284,10
2020-04-14,297,10
2020-04-15,353,10
2020-04-16,355,11
2020-04-17,360,11
2020-04-18,377,12
2020-04-19,377,12
2020-04-20,388,12
2020-04-21,400,12
2020-04-22,414,12
2020-04-23,427,12
2020-04-24,440,14
2020-04-25,471,14
2020-04-26,478,14
2020-04-27,484,15
2020-04-28,490,16
2020-04-29,503,16
2020-04-30,518,17
2020-05-01,527,18
2020-05-02,539,19
2020-05-03,550,19
2020-05-04,551,20
2020-05-05,565,21
2020-05-06,576,22
2020-05-07,588,22
2020-05-08,603,22
2020-05-09,603,22
2020-05-10,627,23
2020-05-11,630,23
2020-05-12,640,23
2020-05-13,647,23
2020-05-14,661,23
2020-05-15,669,23
2020-05-16,683,23
2020-05-17,686,23
2020-05-18,693,25
2020-05-19,713,25
2020-05-20,724,28
2020-05-21,740,28
2020-05-22,761,29
2020-05-23,773,29
2020-05-24,785,29
2020-05-25,793,29
2020-05-26,802,30
2020-05-27,808,30
2020-05-28,830,31
2020-05-29,846,34
2020-05-30,876,34
2020-05-31,888,34
2020-06-01,903,34
2020-06-02,969,35
2020-06-03,1003,35
2020-06-04,1039,37
2020-06-05,1065,37
2020-06-06,1091,37
2020-06-07,1103,37
2020-06-08,1118,38
2020-06-09,1131,40
2020-06-10,1188,41
2020-06-11,1225,41
2020-06-12,1241,41
2020-06-13,1266,41
2020-06-14,1289,42
2020-06-15,1302,42
2020-06-16,1343,43
2020-06-17,1365,46
2020-06-18,1394,48
2020-06-19,1445,48
2020-06-20,1499,52
2020-06-21,1514,52
2020-06-22,1531,52
2020-06-23,1556,53
2020-06-24,1607,53
2020-06-25,1655,53
2020-06-26,1740,55
2020-06-27,1810,56
2020-06-28,1862,56
2020-06-29,1916,57
2020-06-30,2036,58
2020-07-01,2080,59
2020-07-02,2183,59
2020-07-03,2258,59
2020-07-04,2345,60
2020-07-05,2425,60
2020-07-06,2472,61
2020-07-07,2522,62
2020-07-08,2611,62
2020-07-09,2713,63
2020-07-10,2810,63
2020-07-11,2886,65
2020-07-12,2938,65
2020-07-13,3019,65
2020-07-14,3148,67
2020-07-15,3298,67
2020-07-16,3425,67
2020-07-17,3497,69
2020-07-18,3578,69
2020-07-19,3652,69
2020-07-20,3717,69
2020-07-21,3843,69
2020-07-22,3923,69
2020-07-23,4044,70
2020-07-24,4183,71
2020-07-25,4297,71
