date,cases,deaths
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,1,0.0
2020-04-06,1,0.0
2020-04-07,1,0.0
2020-04-08,1,0.0
2020-04-09,1,0.0
2020-04-10,1,0.0
2020-04-11,1,0.0
2020-04-12,1,0.0
2020-04-13,1,0.0
2020-04-14,1,0.0
2020-04-15,1,0.0
2020-04-16,1,0.0
2020-04-17,1,0.0
2020-04-18,1,0.0
2020-04-19,1,0.0
2020-04-20,1,0.0
2020-04-21,1,0.0
2020-04-22,1,0.0
2020-04-23,1,0.0
2020-04-24,1,0.0
2020-04-25,1,0.0
2020-04-26,1,0.0
2020-04-27,1,0.0
2020-04-28,1,0.0
2020-04-29,1,0.0
2020-04-30,1,0.0
2020-05-01,1,0.0
2020-05-02,1,0.0
2020-05-03,1,0.0
2020-05-04,1,0.0
2020-05-05,1,0.0
2020-05-06,1,0.0
2020-05-07,1,0.0
2020-05-08,1,0.0
2020-05-09,1,0.0
2020-05-10,1,0.0
2020-05-11,1,0.0
2020-05-12,1,0.0
2020-05-13,1,0.0
2020-05-14,1,0.0
2020-05-15,1,0.0
2020-05-16,1,0.0
2020-05-17,1,0.0
2020-05-18,1,0.0
2020-05-19,1,0.0
2020-05-20,1,0.0
2020-05-21,1,0.0
2020-05-22,1,0.0
2020-05-23,1,0.0
2020-05-24,1,0.0
2020-05-25,1,0.0
2020-05-26,1,0.0
2020-05-27,1,0.0
2020-05-28,1,0.0
2020-05-29,1,0.0
2020-05-30,1,0.0
2020-05-31,1,0.0
2020-06-01,1,0.0
2020-06-02,1,0.0
2020-06-03,1,0.0
2020-06-04,1,0.0
2020-06-05,1,0.0
2020-06-06,1,0.0
2020-06-07,1,0.0
2020-06-08,1,0.0
2020-06-09,1,0.0
2020-06-10,1,0.0
2020-06-11,1,0.0
2020-06-12,1,0.0
2020-06-13,1,0.0
2020-06-14,1,0.0
2020-06-15,1,0.0
2020-06-16,1,0.0
2020-06-17,1,0.0
2020-06-18,1,0.0
2020-06-19,1,0.0
2020-06-20,1,0.0
2020-06-21,1,0.0
2020-06-22,1,0.0
2020-06-23,1,0.0
2020-06-24,1,0.0
2020-06-25,1,0.0
2020-06-26,1,0.0
2020-06-27,1,0.0
2020-06-28,1,0.0
2020-06-29,1,0.0
2020-06-30,1,0.0
2020-07-01,1,0.0
2020-07-02,1,0.0
2020-07-03,1,0.0
2020-07-04,1,0.0
2020-07-05,1,0.0
2020-07-06,1,0.0
2020-07-07,1,0.0
2020-07-08,1,0.0
2020-07-09,1,0.0
2020-07-10,1,0.0
2020-07-11,1,0.0
2020-07-12,1,0.0
2020-07-13,1,0.0
2020-07-14,1,0.0
2020-07-15,1,0.0
2020-07-16,1,0.0
2020-07-17,1,0.0
2020-07-18,1,0.0
2020-07-19,1,0.0
2020-07-20,1,0.0
2020-07-21,1,0.0
2020-07-22,1,0.0
2020-07-23,1,0.0
2020-07-24,1,0.0
2020-07-25,1,0.0
2020-07-26,1,0.0
2020-07-27,1,0.0
2020-07-28,1,0.0
2020-07-29,1,0.0
2020-07-30,1,0.0
2020-07-31,1,0.0
2020-08-01,1,0.0
2020-08-02,1,0.0
2020-08-03,1,0.0
2020-08-04,1,0.0
2020-08-05,1,0.0
2020-08-06,1,0.0
2020-08-07,1,0.0
2020-08-08,1,0.0
2020-08-09,1,0.0
2020-08-10,1,0.0
2020-08-11,1,0.0
2020-08-12,1,0.0
2020-08-13,1,0.0
2020-08-14,1,0.0
2020-08-15,1,0.0
2020-08-16,1,0.0
2020-08-17,1,0.0
2020-08-18,1,0.0
2020-08-19,1,0.0
2020-08-20,1,0.0
2020-08-21,1,0.0
2020-08-22,1,0.0
2020-08-23,1,0.0
2020-08-24,1,0.0
2020-08-25,1,0.0
2020-08-26,5,0.0
2020-08-27,5,0.0
2020-08-28,5,0.0
2020-08-29,5,0.0
2020-08-30,5,0.0
2020-08-31,6,0.0
2020-09-01,6,0.0
2020-09-02,7,0.0
2020-09-03,7,0.0
2020-09-04,7,0.0
2020-09-05,7,0.0
2020-09-06,8,0.0
2020-09-07,8,0.0
2020-09-08,9,0.0
2020-09-09,10,0.0
2020-09-10,11,0.0
2020-09-11,11,0.0
2020-09-12,15,0.0
2020-09-13,15,0.0
2020-09-14,15,0.0
2020-09-15,15,0.0
2020-09-16,15,0.0
2020-09-17,15,0.0
2020-09-18,16,0.0
2020-09-19,16,0.0
2020-09-20,16,0.0
2020-09-21,16,0.0
2020-09-22,16,0.0
2020-09-23,16,0.0
2020-09-24,18,0.0
2020-09-25,18,0.0
2020-09-26,18,0.0
2020-09-27,19,0.0
2020-09-28,19,0.0
2020-09-29,20,0.0
2020-09-30,20,0.0
2020-10-01,20,0.0
2020-10-02,20,0.0
2020-10-03,20,0.0
2020-10-04,20,0.0
2020-10-05,20,0.0
2020-10-06,21,0.0
2020-10-07,22,0.0
2020-10-08,23,0.0
2020-10-09,25,0.0
2020-10-10,25,0.0
2020-10-11,26,0.0
2020-10-12,27,0.0
2020-10-13,27,0.0
2020-10-14,27,0.0
2020-10-15,28,0.0
2020-10-16,28,0.0
2020-10-17,28,0.0
2020-10-18,28,0.0
2020-10-19,28,0.0
2020-10-20,28,0.0
2020-10-21,28,0.0
2020-10-22,28,0.0
2020-10-23,28,0.0
2020-10-24,28,0.0
2020-10-25,28,0.0
2020-10-26,28,0.0
2020-10-27,31,0.0
2020-10-28,31,0.0
2020-10-29,31,0.0
2020-10-30,32,0.0
2020-10-31,34,0.0
2020-11-01,35,0.0
2020-11-02,38,0.0
2020-11-03,38,0.0
2020-11-04,38,0.0
2020-11-05,39,0.0
2020-11-06,39,1.0
2020-11-07,40,1.0
2020-11-08,40,1.0
2020-11-09,40,1.0
2020-11-10,40,1.0
2020-11-11,39,1.0
2020-11-12,39,1.0
2020-11-13,39,1.0
2020-11-14,43,1.0
2020-11-15,47,1.0
2020-11-16,47,1.0
2020-11-17,52,1.0
2020-11-18,56,1.0
2020-11-19,59,1.0
2020-11-20,65,1.0
2020-11-21,65,1.0
2020-11-22,74,1.0
2020-11-23,76,1.0
2020-11-24,78,1.0
2020-11-25,79,1.0
2020-11-26,82,1.0
2020-11-27,82,1.0
2020-11-28,85,1.0
2020-11-29,87,1.0
2020-11-30,87,1.0
2020-12-01,93,1.0
2020-12-02,94,1.0
2020-12-03,94,1.0
2020-12-04,96,1.0
2020-12-05,96,1.0
2020-12-06,97,1.0
2020-12-07,98,1.0
2020-12-08,98,1.0
2020-12-09,99,1.0
2020-12-10,99,1.0
2020-12-11,98,1.0
2020-12-12,97,1.0
2020-12-13,97,1.0
2020-12-14,97,1.0
2020-12-15,97,1.0
2020-12-16,97,1.0
2020-12-17,97,1.0
2020-12-18,97,1.0
2020-12-19,97,1.0
2020-12-20,97,1.0
2020-12-21,98,1.0
2020-12-22,99,1.0
2020-12-23,99,1.0
2020-12-24,100,1.0
2020-12-25,100,1.0
2020-12-26,100,1.0
2020-12-27,100,1.0
2020-12-28,100,1.0
2020-12-29,100,1.0
2020-12-30,100,1.0
2020-12-31,101,1.0
2021-01-01,101,1.0
2021-01-02,101,1.0
2021-01-03,101,1.0
2021-01-04,101,1.0
2021-01-05,101,1.0
2021-01-06,101,1.0
2021-01-07,101,1.0
2021-01-08,101,1.0
2021-01-09,101,1.0
2021-01-10,101,1.0
2021-01-11,101,1.0
2021-01-12,101,1.0
2021-01-13,103,1.0
2021-01-14,103,1.0
2021-01-15,103,1.0
2021-01-16,103,1.0
2021-01-17,103,1.0
2021-01-18,103,1.0
2021-01-19,103,1.0
2021-01-20,103,1.0
2021-01-21,103,1.0
2021-01-22,103,1.0
2021-01-23,103,1.0
2021-01-24,103,1.0
