date,cases,deaths
2020-04-23,1,0.0
2020-04-24,1,0.0
2020-04-25,1,0.0
2020-04-26,1,0.0
2020-04-27,1,0.0
2020-04-28,1,0.0
2020-04-29,1,0.0
2020-04-30,1,0.0
2020-05-01,1,0.0
2020-05-02,1,0.0
2020-05-03,1,0.0
2020-05-04,1,0.0
2020-05-05,1,0.0
2020-05-06,1,0.0
2020-05-07,1,0.0
2020-05-08,1,0.0
2020-05-09,1,0.0
2020-05-10,1,0.0
2020-05-11,1,0.0
2020-05-12,1,0.0
2020-05-13,1,0.0
2020-05-14,1,0.0
2020-05-15,1,0.0
2020-05-16,1,0.0
2020-05-17,1,0.0
2020-05-18,1,0.0
2020-05-19,1,0.0
2020-05-20,1,0.0
2020-05-21,1,0.0
2020-05-22,1,0.0
2020-05-23,1,0.0
2020-05-24,1,0.0
2020-05-25,1,0.0
2020-05-26,1,0.0
2020-05-27,1,0.0
2020-05-28,1,0.0
2020-05-29,1,0.0
2020-05-30,1,0.0
2020-05-31,1,0.0
2020-06-01,1,0.0
2020-06-02,1,0.0
2020-06-03,1,0.0
2020-06-04,1,0.0
2020-06-05,1,0.0
2020-06-06,1,0.0
2020-06-07,1,0.0
2020-06-08,1,0.0
2020-06-09,1,0.0
2020-06-10,1,0.0
2020-06-11,1,0.0
2020-06-12,1,0.0
2020-06-13,1,0.0
2020-06-14,1,0.0
2020-06-15,1,0.0
2020-06-16,1,0.0
2020-06-17,1,0.0
2020-06-18,1,0.0
2020-06-19,1,0.0
2020-06-20,1,0.0
2020-06-21,1,0.0
2020-06-22,1,0.0
2020-06-23,1,0.0
2020-06-24,1,0.0
2020-06-25,1,0.0
2020-06-26,1,0.0
2020-06-27,1,0.0
2020-06-28,1,0.0
2020-06-29,1,0.0
2020-06-30,1,0.0
2020-07-01,1,0.0
2020-07-02,1,0.0
2020-07-03,1,0.0
2020-07-04,1,0.0
2020-07-05,1,0.0
2020-07-06,1,0.0
2020-07-07,1,0.0
2020-07-08,1,0.0
2020-07-09,1,0.0
2020-07-10,1,0.0
2020-07-11,1,0.0
2020-07-12,1,0.0
2020-07-13,1,0.0
2020-07-14,1,0.0
2020-07-15,1,0.0
2020-07-16,1,0.0
2020-07-17,1,0.0
2020-07-18,1,0.0
2020-07-19,1,0.0
2020-07-20,1,0.0
2020-07-21,1,0.0
2020-07-22,1,0.0
2020-07-23,1,0.0
2020-07-24,1,0.0
2020-07-25,1,0.0
2020-07-26,1,0.0
2020-07-27,1,0.0
2020-07-28,1,0.0
2020-07-29,1,0.0
2020-07-30,1,0.0
2020-07-31,1,0.0
2020-08-01,1,0.0
2020-08-02,1,0.0
2020-08-03,1,0.0
2020-08-04,1,0.0
2020-08-05,1,0.0
2020-08-06,1,0.0
2020-08-07,1,0.0
2020-08-08,1,0.0
2020-08-09,1,0.0
2020-08-10,1,0.0
2020-08-11,1,0.0
2020-08-12,1,0.0
2020-08-13,1,0.0
2020-08-14,1,0.0
2020-08-15,1,0.0
2020-08-16,2,0.0
2020-08-17,2,0.0
2020-08-18,2,0.0
2020-08-19,2,0.0
2020-08-20,2,0.0
2020-08-21,2,0.0
2020-08-22,2,0.0
2020-08-23,2,0.0
2020-08-24,2,0.0
2020-08-25,2,0.0
2020-08-26,2,0.0
2020-08-27,2,0.0
2020-08-28,2,0.0
2020-08-29,2,0.0
2020-08-30,2,0.0
2020-08-31,2,0.0
2020-09-01,2,0.0
2020-09-02,2,0.0
2020-09-03,2,0.0
2020-09-04,2,0.0
2020-09-05,2,0.0
2020-09-06,2,0.0
2020-09-07,2,0.0
2020-09-08,2,0.0
2020-09-09,2,0.0
2020-09-10,2,0.0
2020-09-11,2,0.0
2020-09-12,2,0.0
2020-09-13,2,0.0
2020-09-14,2,0.0
2020-09-15,2,0.0
2020-09-16,2,0.0
2020-09-17,2,0.0
2020-09-18,2,0.0
2020-09-19,2,0.0
2020-09-20,2,0.0
2020-09-21,2,0.0
2020-09-22,2,0.0
2020-09-23,2,0.0
2020-09-24,2,0.0
2020-09-25,2,0.0
2020-09-26,2,0.0
2020-09-27,2,0.0
2020-09-28,2,0.0
2020-09-29,2,0.0
2020-09-30,2,0.0
2020-10-01,1,0.0
2020-10-02,1,0.0
2020-10-03,1,0.0
2020-10-04,1,0.0
2020-10-05,1,0.0
2020-10-06,1,0.0
2020-10-07,1,0.0
2020-10-08,1,0.0
2020-10-09,1,0.0
2020-10-10,1,0.0
2020-10-11,1,0.0
2020-10-12,1,0.0
2020-10-13,1,0.0
2020-10-14,1,0.0
2020-10-15,1,0.0
2020-10-16,1,0.0
2020-10-17,1,0.0
2020-10-18,1,0.0
2020-10-19,1,0.0
2020-10-20,1,0.0
2020-10-21,1,0.0
2020-10-22,1,0.0
2020-10-23,1,0.0
2020-10-24,1,0.0
2020-10-25,1,0.0
2020-10-26,1,0.0
2020-10-27,1,0.0
2020-10-28,1,0.0
2020-10-29,1,0.0
2020-10-30,1,0.0
2020-10-31,1,0.0
2020-11-01,1,0.0
2020-11-02,1,0.0
2020-11-03,1,0.0
2020-11-04,1,0.0
2020-11-05,1,0.0
2020-11-06,1,0.0
2020-11-07,1,0.0
2020-11-08,1,0.0
2020-11-09,1,0.0
2020-11-10,1,0.0
2020-11-11,1,0.0
2020-11-12,4,0.0
2020-11-13,4,0.0
2020-11-14,4,0.0
2020-11-15,4,0.0
2020-11-16,4,0.0
2020-11-17,4,0.0
2020-11-18,4,0.0
2020-11-19,4,0.0
2020-11-20,4,0.0
2020-11-21,4,0.0
2020-11-22,4,0.0
2020-11-23,5,0.0
2020-11-24,5,0.0
2020-11-25,5,0.0
2020-11-26,6,0.0
2020-11-27,6,0.0
2020-11-28,6,0.0
2020-11-29,6,0.0
2020-11-30,6,0.0
2020-12-01,6,0.0
