date,cases,deaths
2020-03-18,1,0.0
2020-03-19,5,0.0
2020-03-20,6,0.0
2020-03-21,10,0.0
2020-03-22,14,0.0
2020-03-23,15,1.0
2020-03-24,15,1.0
2020-03-25,53,1.0
2020-03-26,69,1.0
2020-03-27,72,1.0
2020-03-28,93,1.0
2020-03-29,97,1.0
2020-03-30,102,1.0
2020-03-31,136,1.0
2020-04-01,136,1.0
2020-04-02,216,1.0
2020-04-03,275,5.0
2020-04-04,287,6.0
2020-04-05,298,8.0
2020-04-06,357,8.0
2020-04-07,399,12.0
2020-04-08,444,12.0
2020-04-09,498,13.0
2020-04-10,536,17.0
2020-04-11,585,17.0
2020-04-12,614,17.0
2020-04-13,639,24.0
2020-04-14,695,26.0
2020-04-15,700,27.0
2020-04-16,706,27.0
2020-04-17,711,30.0
2020-04-18,808,30.0
2020-04-19,831,30.0
2020-04-20,859,30.0
2020-04-21,877,40.0
2020-04-22,893,45.0
2020-04-23,909,46.0
2020-04-24,950,48.0
2020-04-25,985,50.0
2020-04-26,1007,50.0
2020-04-27,1027,54.0
2020-04-28,1054,55.0
2020-04-29,1067,60.0
2020-04-30,1077,60.0
2020-05-01,1105,64.0
2020-05-02,1186,65.0
2020-05-03,1304,70.0
2020-05-04,1304,71.0
2020-05-05,1315,78.0
2020-05-06,1384,82.0
2020-05-07,1450,83.0
2020-05-08,1474,85.0
2020-05-09,1484,86.0
2020-05-10,1513,88.0
2020-05-11,1526,90.0
2020-05-12,1549,91.0
2020-05-13,1571,95.0
2020-05-14,1596,95.0
2020-05-15,1602,95.0
2020-05-16,1631,96.0
2020-05-17,1654,97.0
2020-05-18,1682,100.0
2020-05-19,1705,108.0
2020-05-20,1717,109.0
2020-05-21,1744,109.0
2020-05-22,1763,110.0
2020-05-23,1789,110.0
2020-05-24,1815,112.0
2020-05-25,1849,112.0
2020-05-26,1867,116.0
2020-05-27,1884,117.0
2020-05-28,1906,118.0
2020-05-29,1916,118.0
2020-05-30,1930,130.0
2020-05-31,1955,130.0
2020-06-01,1974,130.0
2020-06-02,1990,131.0
2020-06-03,2006,132.0
2020-06-04,2034,132.0
2020-06-05,2053,134.0
2020-06-06,2068,135.0
2020-06-07,2071,135.0
2020-06-08,2071,135.0
2020-06-09,2132,139.0
2020-06-10,2145,139.0
2020-06-11,2162,139.0
2020-06-12,2179,141.0
2020-06-13,2195,141.0
