date,cases,deaths
2020-03-20,1,0.0
2020-03-21,1,0.0
2020-03-22,1,0.0
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,2,0.0
2020-03-26,2,0.0
2020-03-27,6,0.0
2020-03-28,10,0.0
2020-03-29,12,0.0
2020-03-30,13,0.0
2020-03-31,15,0.0
2020-04-01,19,0.0
2020-04-02,24,0.0
2020-04-03,26,0.0
2020-04-04,32,0.0
2020-04-05,37,0.0
2020-04-06,46,1.0
2020-04-07,52,1.0
2020-04-08,60,5.0
2020-04-09,65,6.0
2020-04-10,67,6.0
2020-04-11,73,7.0
2020-04-12,77,8.0
2020-04-13,81,9.0
2020-04-14,83,9.0
2020-04-15,85,9.0
2020-04-16,92,10.0
2020-04-17,103,10.0
2020-04-18,105,10.0
2020-04-19,111,10.0
2020-04-20,118,11.0
2020-04-21,127,13.0
2020-04-22,132,13.0
2020-04-23,153,13.0
2020-04-24,162,13.0
2020-04-25,184,13.0
2020-04-26,188,13.0
2020-04-27,192,15.0
2020-04-28,199,17.0
2020-04-29,203,19.0
2020-04-30,217,19.0
2020-05-01,230,19.0
2020-05-02,248,19.0
2020-05-03,252,19.0
2020-05-04,254,20.0
2020-05-05,275,21.0
2020-05-06,294,21.0
2020-05-07,300,22.0
2020-05-08,311,22.0
2020-05-09,319,23.0
2020-05-10,325,23.0
2020-05-11,336,23.0
2020-05-12,354,24.0
2020-05-13,357,26.0
2020-05-14,359,26.0
2020-05-15,384,27.0
2020-05-16,386,28.0
2020-05-17,393,28.0
2020-05-18,403,28.0
2020-05-19,417,28.0
2020-05-20,427,28.0
2020-05-21,441,28.0
2020-05-22,455,29.0
2020-05-23,457,29.0
2020-05-24,458,29.0
2020-05-25,460,29.0
2020-05-26,461,29.0
2020-05-27,472,29.0
2020-05-28,522,30.0
2020-05-29,535,30.0
2020-05-30,539,30.0
2020-05-31,541,30.0
2020-06-01,541,30.0
2020-06-02,553,30.0
2020-06-03,578,30.0
2020-06-04,579,30.0
2020-06-05,580,30.0
2020-06-06,580,30.0
2020-06-07,581,30.0
2020-06-08,584,30.0
2020-06-09,592,30.0
2020-06-10,594,30.0
2020-06-11,599,30.0
2020-06-12,598,30.0
2020-06-13,598,30.0
2020-06-14,598,30.0
2020-06-15,599,30.0
2020-06-16,601,31.0
2020-06-17,610,31.0
2020-06-18,613,32.0
2020-06-19,618,32.0
2020-06-20,617,32.0
2020-06-21,618,32.0
2020-06-22,617,32.0
2020-06-23,621,32.0
2020-06-24,622,31.0
2020-06-25,624,31.0
2020-06-26,627,32.0
2020-06-27,628,32.0
2020-06-28,631,32.0
2020-06-29,632,32.0
2020-06-30,637,32.0
2020-07-01,640,32.0
2020-07-02,642,32.0
2020-07-03,648,32.0
2020-07-04,651,32.0
2020-07-05,653,32.0
2020-07-06,654,32.0
2020-07-07,658,32.0
2020-07-08,665,32.0
2020-07-09,671,32.0
2020-07-10,676,32.0
2020-07-11,695,32.0
2020-07-12,700,32.0
2020-07-13,701,32.0
2020-07-14,710,32.0
2020-07-15,716,32.0
2020-07-16,719,32.0
2020-07-17,733,32.0
2020-07-18,740,32.0
2020-07-19,740,32.0
2020-07-20,741,32.0
2020-07-21,745,32.0
2020-07-22,753,32.0
2020-07-23,757,32.0
2020-07-24,759,32.0
2020-07-25,771,32.0
2020-07-26,773,32.0
2020-07-27,773,32.0
2020-07-28,797,34.0
2020-07-29,803,34.0
2020-07-30,813,34.0
2020-07-31,818,34.0
2020-08-01,826,34.0
2020-08-02,827,34.0
2020-08-03,829,34.0
2020-08-04,847,34.0
2020-08-05,854,35.0
2020-08-06,863,35.0
2020-08-07,871,35.0
2020-08-08,878,35.0
2020-08-09,885,35.0
2020-08-10,890,35.0
2020-08-11,913,35.0
2020-08-12,924,36.0
2020-08-13,933,36.0
2020-08-14,940,36.0
2020-08-15,947,36.0
2020-08-16,948,36.0
2020-08-17,948,36.0
2020-08-18,977,36.0
2020-08-19,987,36.0
2020-08-20,997,36.0
2020-08-21,1011,36.0
2020-08-22,1018,36.0
2020-08-23,1019,36.0
2020-08-24,1020,36.0
2020-08-25,1040,36.0
2020-08-26,1045,36.0
2020-08-27,1051,36.0
2020-08-28,1066,36.0
2020-08-29,1071,36.0
2020-08-30,1073,36.0
2020-08-31,1074,36.0
2020-09-01,1082,36.0
2020-09-02,1086,36.0
2020-09-03,1090,36.0
2020-09-04,1091,36.0
2020-09-05,1094,36.0
2020-09-06,1097,36.0
2020-09-07,1098,36.0
2020-09-08,1102,36.0
2020-09-09,1103,36.0
2020-09-10,1103,37.0
2020-09-11,1109,37.0
2020-09-12,1114,37.0
2020-09-13,1118,37.0
2020-09-14,1120,37.0
2020-09-15,1122,37.0
2020-09-16,1123,37.0
2020-09-17,1128,37.0
2020-09-18,1134,37.0
2020-09-19,1138,37.0
2020-09-20,1140,37.0
2020-09-21,1140,37.0
2020-09-22,1146,37.0
2020-09-23,1149,37.0
2020-09-24,1151,37.0
2020-09-25,1157,37.0
2020-09-26,1162,37.0
2020-09-27,1165,37.0
2020-09-28,1168,37.0
2020-09-29,1171,37.0
2020-09-30,1179,37.0
2020-10-01,1182,37.0
2020-10-02,1183,37.0
2020-10-03,1186,37.0
2020-10-04,1191,37.0
2020-10-05,1192,37.0
2020-10-06,1195,37.0
2020-10-07,1197,37.0
2020-10-08,1201,37.0
2020-10-09,1208,37.0
2020-10-10,1216,37.0
2020-10-11,1220,37.0
2020-10-12,1222,37.0
2020-10-13,1237,37.0
2020-10-14,1241,37.0
2020-10-15,1250,37.0
2020-10-16,1270,37.0
2020-10-17,1280,37.0
2020-10-18,1284,37.0
2020-10-19,1298,37.0
2020-10-20,1309,37.0
2020-10-21,1318,38.0
2020-10-22,1331,38.0
2020-10-23,1349,39.0
2020-10-24,1384,39.0
2020-10-25,1406,39.0
2020-10-26,1418,40.0
2020-10-27,1433,43.0
2020-10-28,1463,44.0
2020-10-29,1477,45.0
2020-10-30,1499,45.0
2020-10-31,1526,47.0
2020-11-01,1537,49.0
2020-11-02,1553,50.0
2020-11-03,1578,50.0
2020-11-04,1629,52.0
2020-11-05,1669,53.0
2020-11-06,1704,54.0
2020-11-07,1741,55.0
2020-11-08,1756,55.0
2020-11-09,1794,55.0
2020-11-10,1853,55.0
2020-11-11,1884,56.0
2020-11-12,1920,56.0
2020-11-13,1954,56.0
2020-11-14,1996,56.0
2020-11-15,2020,57.0
2020-11-16,2038,57.0
2020-11-17,2103,58.0
2020-11-18,2150,58.0
2020-11-19,2189,61.0
2020-11-20,2217,62.0
2020-11-21,2278,62.0
2020-11-22,2318,62.0
2020-11-23,2359,63.0
2020-11-24,2416,63.0
2020-11-25,2463,64.0
2020-11-26,2538,65.0
2020-11-27,2568,65.0
2020-11-28,2605,66.0
2020-11-29,2655,68.0
2020-11-30,2702,68.0
2020-12-01,2750,68.0
2020-12-02,2796,70.0
2020-12-03,2837,70.0
2020-12-04,2912,71.0
2020-12-05,2982,71.0
2020-12-06,3040,72.0
2020-12-07,3076,72.0
2020-12-08,3135,74.0
2020-12-09,3215,74.0
