date,cases,deaths
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,4,0
2020-03-26,5,0
2020-03-27,6,0
2020-03-28,7,0
2020-03-29,7,0
2020-03-30,7,2
2020-03-31,7,1
2020-04-01,7,1
2020-04-02,8,1
2020-04-03,9,1
2020-04-04,11,1
2020-04-05,12,2
2020-04-06,14,3
2020-04-07,16,3
2020-04-08,19,3
2020-04-09,20,3
2020-04-10,20,3
2020-04-11,20,3
2020-04-12,20,3
2020-04-13,22,3
2020-04-14,22,3
2020-04-15,22,3
2020-04-16,22,3
2020-04-17,23,3
2020-04-18,23,4
2020-04-19,24,4
2020-04-20,24,4
2020-04-21,24,4
2020-04-22,24,4
2020-04-23,24,4
2020-04-24,24,4
2020-04-25,24,4
2020-04-26,24,4
2020-04-27,25,4
2020-04-28,26,4
2020-04-29,28,4
2020-04-30,29,4
2020-05-01,30,4
2020-05-02,31,4
2020-05-03,32,4
2020-05-04,39,4
2020-05-05,40,4
2020-05-06,42,4
2020-05-07,42,5
2020-05-08,42,5
2020-05-09,47,5
2020-05-10,47,5
2020-05-11,51,5
2020-05-12,52,6
2020-05-13,52,6
2020-05-14,58,6
2020-05-15,61,6
2020-05-16,61,6
2020-05-17,66,7
2020-05-18,68,7
2020-05-19,69,7
2020-05-20,80,7
2020-05-21,94,7
2020-05-22,97,8
2020-05-23,112,8
2020-05-24,115,8
2020-05-25,117,8
2020-05-26,121,8
2020-05-27,124,8
2020-05-28,132,8
2020-05-29,171,8
2020-05-30,173,7
2020-05-31,182,7
2020-06-01,182,7
2020-06-02,197,7
2020-06-03,205,7
2020-06-04,218,7
2020-06-05,245,7
2020-06-06,258,7
2020-06-07,268,7
2020-06-08,284,7
2020-06-09,296,7
2020-06-10,299,8
2020-06-11,304,10
2020-06-12,329,10
2020-06-13,348,10
2020-06-14,361,10
2020-06-15,387,10
2020-06-16,402,10
2020-06-17,406,10
2020-06-18,412,10
