date,cases,deaths
2020-03-09,2,0
2020-03-10,2,0
2020-03-11,4,0
2020-03-12,4,0
2020-03-13,4,0
2020-03-14,8,0
2020-03-15,10,0
2020-03-16,10,0
2020-03-17,15,0
2020-03-18,18,0
2020-03-19,22,0
2020-03-20,40,0
2020-03-21,42,0
2020-03-22,53,0
2020-03-23,74,0
2020-03-24,107,0
2020-03-25,125,0
2020-03-26,137,0
2020-03-27,219,2
2020-03-28,246,3
2020-03-29,273,3
2020-03-30,294,3
2020-03-31,360,4
2020-04-01,360,4
2020-04-02,409,8
2020-04-03,483,8
2020-04-04,539,9
2020-04-05,549,9
2020-04-06,600,11
2020-04-07,673,11
2020-04-08,732,12
2020-04-09,766,13
2020-04-10,826,13
2020-04-11,848,14
2020-04-12,893,14
2020-04-13,1006,15
2020-04-14,1144,15
2020-04-15,1225,16
2020-04-16,1260,21
2020-04-17,1366,23
2020-04-18,1408,24
2020-04-19,1473,24
2020-04-20,1520,26
2020-04-21,1563,30
2020-04-22,1609,31
2020-04-23,1689,34
2020-04-24,1721,36
2020-04-25,1788,36
2020-04-26,1800,36
2020-04-27,1855,42
2020-04-28,1907,44
2020-04-29,1980,46
2020-04-30,2027,47
2020-05-01,2073,49
2020-05-02,2148,52
2020-05-03,2184,53
2020-05-04,2255,57
2020-05-05,2284,59
2020-05-06,2357,61
2020-05-07,2396,62
2020-05-08,2445,69
2020-05-09,2489,69
2020-05-10,2536,69
2020-05-11,2555,71
2020-05-12,2605,72
2020-05-13,2632,73
2020-05-14,2664,75
2020-05-15,2751,80
2020-05-16,2800,81
2020-05-17,2802,82
2020-05-18,2856,86
2020-05-19,2918,87
2020-05-20,2979,88
2020-05-21,3038,96
2020-05-22,3080,100
2020-05-23,3146,102
2020-05-24,3257,102
2020-05-25,3305,104
2020-05-26,3421,107
2020-05-27,3573,111
2020-05-28,3635,112
2020-05-29,3718,112
2020-05-30,3731,112
2020-05-31,3734,120
2020-06-01,3795,121
