date,cases,deaths
2020-03-17,1,0
2020-03-18,4,0
2020-03-19,7,0
2020-03-20,8,0
2020-03-21,10,0
2020-03-22,15,0
2020-03-23,21,0
2020-03-24,24,0
2020-03-25,25,0
2020-03-26,31,0
2020-03-27,34,1
2020-03-28,38,1
2020-03-29,43,1
2020-03-30,44,1
2020-03-31,45,1
2020-04-01,49,1
2020-04-02,53,1
2020-04-03,69,1
2020-04-04,70,3
2020-04-05,73,3
2020-04-06,79,3
2020-04-07,89,3
2020-04-08,88,3
2020-04-09,96,3
2020-04-10,99,4
2020-04-11,107,5
2020-04-12,110,5
2020-04-13,112,5
2020-04-14,121,5
2020-04-15,129,5
2020-04-16,134,5
2020-04-17,137,5
2020-04-18,144,5
2020-04-19,144,5
2020-04-20,145,5
2020-04-21,151,5
2020-04-22,150,6
2020-04-23,152,6
2020-04-24,157,6
2020-04-25,158,6
2020-04-26,158,6
2020-04-27,159,6
2020-04-28,166,6
2020-04-29,171,6
2020-04-30,174,6
2020-05-01,177,6
2020-05-02,181,6
2020-05-03,181,6
2020-05-04,184,6
2020-05-05,186,6
2020-05-06,187,6
2020-05-07,188,6
2020-05-08,193,6
2020-05-09,198,6
2020-05-10,198,6
2020-05-11,198,6
2020-05-12,201,6
2020-05-13,210,6
2020-05-14,223,6
2020-05-15,214,6
2020-05-16,215,6
2020-05-17,215,6
2020-05-18,216,6
2020-05-19,218,6
2020-05-20,220,6
2020-05-21,224,6
2020-05-22,230,6
2020-05-23,231,6
2020-05-24,234,6
2020-05-25,237,6
2020-05-26,237,6
2020-05-27,245,7
2020-05-28,247,7
2020-05-29,251,7
2020-05-30,257,7
2020-05-31,258,7
2020-06-01,261,7
2020-06-02,263,7
2020-06-03,265,7
2020-06-04,269,7
2020-06-05,268,7
