date,cases,deaths
2020-03-22,1,0
2020-03-23,3,0
2020-03-24,5,0
2020-03-25,6,0
2020-03-26,9,0
2020-03-27,13,0
2020-03-28,16,0
2020-03-29,21,0
2020-03-30,30,0
2020-03-31,38,0
2020-04-01,47,0
2020-04-02,54,0
2020-04-03,63,0
2020-04-04,77,0
2020-04-05,90,0
2020-04-06,103,0
2020-04-07,119,0
2020-04-08,136,0
2020-04-09,149,1
2020-04-10,164,1
2020-04-11,179,2
2020-04-12,188,2
2020-04-13,192,2
2020-04-14,200,2
2020-04-15,212,3
2020-04-16,236,4
2020-04-17,244,4
2020-04-18,254,5
2020-04-19,261,5
2020-04-20,267,5
2020-04-21,277,7
2020-04-22,283,7
2020-04-23,290,7
2020-04-24,300,7
2020-04-25,311,7
2020-04-26,321,7
2020-04-27,324,7
2020-04-28,330,7
2020-04-29,343,7
2020-04-30,368,7
2020-05-01,375,7
2020-05-02,384,7
2020-05-03,395,7
2020-05-04,398,7
2020-05-05,405,7
2020-05-06,419,9
2020-05-07,422,10
2020-05-08,430,13
2020-05-09,437,13
2020-05-10,451,13
2020-05-11,453,13
2020-05-12,459,14
2020-05-13,478,14
2020-05-14,490,14
2020-05-15,506,15
2020-05-16,512,15
2020-05-17,525,15
2020-05-18,529,20
2020-05-19,534,21
2020-05-20,541,21
2020-05-21,548,25
2020-05-22,560,26
2020-05-23,576,26
2020-05-24,585,27
