date,cases,deaths
2020-03-31,3,0.0
2020-04-01,5,0.0
2020-04-02,8,0.0
2020-04-03,10,1.0
2020-04-04,5,1.0
2020-04-05,5,1.0
2020-04-06,9,1.0
2020-04-07,11,1.0
2020-04-08,12,1.0
2020-04-09,13,1.0
2020-04-10,16,1.0
2020-04-11,17,1.0
2020-04-12,18,1.0
2020-04-13,19,1.0
2020-04-14,19,1.0
2020-04-15,21,1.0
2020-04-16,21,2.0
2020-04-17,23,2.0
2020-04-18,25,2.0
2020-04-19,26,2.0
2020-04-20,26,2.0
2020-04-21,26,2.0
2020-04-22,27,2.0
2020-04-23,27,2.0
2020-04-24,28,3.0
2020-04-25,30,3.0
2020-04-26,30,3.0
2020-04-27,31,3.0
2020-04-28,32,4.0
2020-04-29,36,4.0
2020-04-30,38,4.0
2020-05-01,39,4.0
2020-05-02,39,4.0
2020-05-03,39,4.0
2020-05-04,40,5.0
2020-05-05,41,4.0
2020-05-06,42,4.0
2020-05-07,42,4.0
2020-05-08,43,4.0
2020-05-09,43,4.0
2020-05-10,43,4.0
2020-05-11,43,4.0
2020-05-12,43,4.0
2020-05-13,51,4.0
2020-05-14,54,4.0
2020-05-15,55,4.0
2020-05-16,56,4.0
2020-05-17,57,5.0
2020-05-18,57,5.0
2020-05-19,57,5.0
2020-05-20,57,5.0
2020-05-21,68,5.0
2020-05-22,69,5.0
2020-05-23,69,5.0
2020-05-24,69,5.0
2020-05-25,73,5.0
2020-05-26,74,5.0
2020-05-27,86,5.0
2020-05-28,86,5.0
2020-05-29,86,5.0
2020-05-30,87,5.0
2020-05-31,87,5.0
2020-06-01,88,5.0
2020-06-02,88,5.0
2020-06-03,94,5.0
2020-06-04,94,5.0
2020-06-05,95,5.0
2020-06-06,96,5.0
2020-06-07,96,5.0
2020-06-08,96,5.0
2020-06-09,97,5.0
2020-06-10,97,5.0
2020-06-11,97,5.0
2020-06-12,97,5.0
2020-06-13,105,5.0
2020-06-14,105,5.0
2020-06-15,107,5.0
2020-06-16,109,5.0
2020-06-17,117,5.0
2020-06-18,117,5.0
2020-06-19,100,5.0
2020-06-20,101,5.0
2020-06-21,101,5.0
2020-06-22,102,5.0
2020-06-23,105,5.0
2020-06-24,105,5.0
2020-06-25,105,5.0
2020-06-26,106,5.0
2020-06-27,106,5.0
2020-06-28,107,6.0
2020-06-29,110,6.0
2020-06-30,111,6.0
2020-07-01,111,6.0
2020-07-02,113,6.0
2020-07-03,117,6.0
2020-07-04,117,6.0
2020-07-05,118,6.0
2020-07-06,118,6.0
2020-07-07,126,6.0
2020-07-08,128,6.0
2020-07-09,134,6.0
2020-07-10,140,7.0
2020-07-11,147,7.0
2020-07-12,151,7.0
2020-07-13,154,7.0
2020-07-14,153,7.0
2020-07-15,159,7.0
2020-07-16,167,7.0
2020-07-17,169,7.0
2020-07-18,169,7.0
2020-07-19,178,7.0
2020-07-20,192,7.0
2020-07-21,204,7.0
2020-07-22,208,7.0
2020-07-23,216,7.0
2020-07-24,221,7.0
2020-07-25,221,7.0
2020-07-26,234,7.0
2020-07-27,238,7.0
2020-07-28,239,7.0
2020-07-29,242,7.0
2020-07-30,250,7.0
2020-07-31,261,7.0
2020-08-01,261,7.0
2020-08-02,278,8.0
2020-08-03,287,8.0
2020-08-04,296,8.0
2020-08-05,298,8.0
2020-08-06,300,9.0
2020-08-07,303,9.0
2020-08-08,303,9.0
2020-08-09,327,9.0
2020-08-10,334,9.0
2020-08-11,337,9.0
2020-08-12,347,9.0
2020-08-13,352,9.0
2020-08-14,356,9.0
2020-08-15,356,9.0
2020-08-16,367,9.0
2020-08-17,376,9.0
2020-08-18,378,9.0
2020-08-19,384,9.0
2020-08-20,386,9.0
2020-08-21,393,9.0
2020-08-22,393,9.0
2020-08-23,402,9.0
2020-08-24,411,9.0
2020-08-25,420,9.0
2020-08-26,421,9.0
2020-08-27,426,9.0
2020-08-28,427,10.0
2020-08-29,427,10.0
2020-08-30,433,10.0
2020-08-31,433,10.0
2020-09-01,436,10.0
2020-09-02,450,10.0
2020-09-03,456,10.0
2020-09-04,458,10.0
2020-09-05,458,10.0
2020-09-06,461,10.0
2020-09-07,461,10.0
2020-09-08,461,10.0
2020-09-09,488,10.0
2020-09-10,487,10.0
2020-09-11,488,11.0
2020-09-12,488,11.0
2020-09-13,496,12.0
2020-09-14,497,12.0
2020-09-15,497,12.0
2020-09-16,498,12.0
2020-09-17,500,12.0
2020-09-18,499,12.0
2020-09-19,499,12.0
2020-09-20,499,13.0
2020-09-21,501,13.0
2020-09-22,507,13.0
2020-09-23,508,13.0
2020-09-24,511,13.0
2020-09-25,510,13.0
2020-09-26,510,13.0
2020-09-27,511,14.0
2020-09-28,512,14.0
2020-09-29,511,14.0
2020-09-30,513,14.0
2020-10-01,511,14.0
2020-10-02,521,14.0
2020-10-03,521,14.0
2020-10-04,522,15.0
2020-10-05,521,15.0
2020-10-06,524,15.0
2020-10-07,525,15.0
2020-10-08,525,15.0
2020-10-09,528,15.0
2020-10-10,528,15.0
2020-10-11,537,15.0
2020-10-12,538,15.0
2020-10-13,538,15.0
2020-10-14,558,15.0
2020-10-15,557,15.0
2020-10-16,558,16.0
2020-10-17,558,16.0
2020-10-18,561,16.0
2020-10-19,562,16.0
2020-10-20,575,16.0
2020-10-21,576,16.0
2020-10-22,593,16.0
2020-10-23,597,16.0
2020-10-24,597,16.0
2020-10-25,600,16.0
2020-10-26,600,16.0
2020-10-27,610,16.0
2020-10-28,611,16.0
2020-10-29,611,16.0
2020-10-30,611,16.0
2020-10-31,611,16.0
2020-11-01,613,16.0
2020-11-02,614,16.0
2020-11-03,633,16.0
2020-11-04,634,16.0
2020-11-05,634,16.0
2020-11-06,637,16.0
2020-11-07,637,16.0
2020-11-08,645,17.0
2020-11-09,644,17.0
2020-11-10,676,17.0
2020-11-11,676,17.0
2020-11-12,682,17.0
2020-11-13,750,23.0
2020-11-14,750,23.0
2020-11-15,763,24.0
2020-11-16,763,24.0
2020-11-17,804,24.0
2020-11-18,814,25.0
2020-11-19,829,25.0
2020-11-20,911,25.0
2020-11-21,911,25.0
2020-11-22,927,25.0
2020-11-23,929,25.0
2020-11-24,958,25.0
2020-11-25,962,25.0
2020-11-26,962,25.0
2020-11-27,981,25.0
2020-11-28,981,25.0
2020-11-29,983,27.0
2020-11-30,988,28.0
2020-12-01,1031,28.0
2020-12-02,1036,28.0
2020-12-03,1052,30.0
2020-12-04,1063,31.0
2020-12-05,1063,31.0
2020-12-06,1086,31.0
2020-12-07,1085,31.0
2020-12-08,1101,32.0
2020-12-09,1127,32.0
2020-12-10,1146,32.0
