date,cases,deaths
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,2,0
2020-03-22,3,0
2020-03-23,3,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,6,0
2020-03-28,6,0
2020-03-29,6,0
2020-03-30,7,0
2020-03-31,7,0
2020-04-01,9,0
2020-04-02,10,0
2020-04-03,13,0
2020-04-04,13,0
2020-04-05,14,0
2020-04-06,16,0
2020-04-07,18,0
2020-04-08,19,0
2020-04-09,21,0
2020-04-10,21,0
2020-04-11,21,0
2020-04-12,21,0
2020-04-13,22,0
2020-04-14,22,0
2020-04-15,22,0
2020-04-16,22,0
2020-04-17,24,1
2020-04-18,24,1
2020-04-19,24,1
2020-04-20,26,1
2020-04-21,29,1
2020-04-22,33,1
2020-04-23,34,1
2020-04-24,35,1
2020-04-25,42,1
2020-04-26,45,1
2020-04-27,46,1
2020-04-28,46,1
2020-04-29,48,1
2020-04-30,49,1
2020-05-01,49,1
2020-05-02,49,1
2020-05-03,51,1
2020-05-04,58,1
2020-05-05,60,2
2020-05-06,60,2
2020-05-07,63,2
2020-05-08,65,2
2020-05-09,65,2
2020-05-10,65,2
2020-05-11,65,2
2020-05-12,65,2
2020-05-13,65,2
2020-05-14,65,2
2020-05-15,66,2
2020-05-16,68,2
2020-05-17,68,2
2020-05-18,69,2
2020-05-19,68,2
2020-05-20,68,2
2020-05-21,69,2
2020-05-22,70,2
2020-05-23,72,2
2020-05-24,72,2
2020-05-25,72,2
2020-05-26,75,2
2020-05-27,75,2
2020-05-28,76,2
2020-05-29,80,2
2020-05-30,81,2
2020-05-31,81,2
2020-06-01,81,2
2020-06-02,90,2
2020-06-03,94,2
2020-06-04,97,2
2020-06-05,100,2
2020-06-06,109,2
2020-06-07,110,2
2020-06-08,129,2
2020-06-09,158,2
2020-06-10,178,2
2020-06-11,184,2
2020-06-12,206,2
2020-06-13,229,2
2020-06-14,233,2
2020-06-15,248,2
2020-06-16,285,2
2020-06-17,297,3
2020-06-18,342,3
2020-06-19,387,3
2020-06-20,411,3
2020-06-21,420,3
2020-06-22,422,3
2020-06-23,464,3
2020-06-24,489,3
2020-06-25,516,3
2020-06-26,536,3
2020-06-27,549,3
2020-06-28,549,3
2020-06-29,588,3
2020-06-30,608,3
2020-07-01,657,3
2020-07-02,733,3
2020-07-03,768,3
